131072,16,1,0.527600
131072,16,2,0.523800
131072,16,4,0.522800
131072,16,8,0.522600
262144,16,1,0.524200
262144,16,2,0.523000
262144,16,4,0.522800
262144,16,8,0.522600
524288,16,1,0.523200
524288,16,2,0.522600
524288,16,4,0.522600
524288,16,8,0.522600
1048576,16,1,0.522600
1048576,16,2,0.522600
1048576,16,4,0.522600
1048576,16,8,0.522600
524288,8,1,0.817800
524288,8,2,0.817400
524288,8,4,0.817400
524288,8,8,0.817400
524288,16,1,0.523200
524288,16,2,0.522600
524288,16,4,0.522600
524288,16,8,0.522600
524288,32,1,0.381600
524288,32,2,0.380400
524288,32,4,0.380200
524288,32,8,0.380200
524288,64,1,0.310000
524288,64,2,0.308400
524288,64,4,0.308000
524288,64,8,0.308000
1048576,8,1,0.817400
1048576,8,2,0.817400
1048576,8,4,0.817400
1048576,8,8,0.817400
1048576,16,1,0.522600
1048576,16,2,0.522600
1048576,16,4,0.522600
1048576,16,8,0.522600
1048576,32,1,0.380400
1048576,32,2,0.380200
1048576,32,4,0.380200
1048576,32,8,0.380200
1048576,64,1,0.308400
1048576,64,2,0.308000
1048576,64,4,0.308000
1048576,64,8,0.308000
